ID,Name,Street Address,Suburb,Postcode,State,Latitude,Longitude,PAF,Previous Match,Status,Bedrooms,Bathrooms,Garages,Carports,Living Areas,Cooling,Heating,Land Size,Building Size,Price per m2,First Listed,Days on the market,Listed Price,First Listed Price,First to Listed Price Change,Price Guide,First Listed Price Guide,Period,VPA,Median Price,Change of Listed Price to Median Price,Property Type,Agency,Agency ID,Primary Agent,Portal ID,Listing Link,Extracted
21317508,The Homeowner,82 Fanny Street,Annerley,4103,QLD,-27.50943135,153.028456,,,current,3,1,1,,,,,,,,13-06-2022,15,$495 per week,$495 per week,0.0%,495,495,week,,1000000,,House,First National  - Metro,23185,First National Metro,434592563,https://www.nexu.com.au/app/#/listing/21317508,29-06-2022
21317777,The Homeowner,16 Goldeneye Place,Forest Lake,4078,QLD,-27.6237264,152.979825,,,current,3,2,2,,,,,,,,13-06-2022,15,$500 per week,$500 per week,0.0%,500,500,week,,501000,,House,Ray White Forest Lake - FOREST LAKE,21860,Danielle Yarnold,434592779,https://www.nexu.com.au/app/#/listing/21317777,29-06-2022
21317725,The Homeowner,6/10 Bailey Street,New Farm,4005,QLD,-27.46411737,153.047549,,,current,1,1,1,,,,,,42,10,13-06-2022,15,Leased by Caleb Reis!,$400 pw Furnished!,0.0%,400,400,week,,431000,,Apartment,Place - New Farm,22748,Caleb Reis,434592879,https://www.nexu.com.au/app/#/listing/21317725,29-06-2022
21318162,The Homeowner,175 Gladstone Road,Highgate Hill,4101,QLD,-27.49163574,153.0196581,,,current,3,1,1,,,a/c,,,,,13-06-2022,15,$625 per week,$750 per week,-16.7%,625,750,week,,1373500,,House,Hugo Alexander Property Group - BULIMBA,43957,Ali Imran,434593051,https://www.nexu.com.au/app/#/listing/21318162,29-06-2022
21073834,The Homeowner,16 Colthouse Place,Sinnamon Park,4073,QLD,-27.53703483,152.9515821,,,current,4,3,,,,a/c,,,,,09-05-2022,50,$720 per week,$785 per week,-8.3%,720,785,week,VPA-1,1003000,,House,Belle Property - Sherwood,32869,Rentals Sherwood,434351287,https://www.nexu.com.au/app/#/listing/21073834,29-06-2022
21318206,The Homeowner,9/2 Woolley Street,Indooroopilly,4068,QLD,-27.49399564,152.9731492,,,current,2,2,1,,,a/c,,,,,13-06-2022,15,Application Approved $655 Per Week,$650 per week,0.8%,655,650,week,,451500,,Unit,Raine & Horne - Brisbane West & Kenmore,24166,Megan Zelauhi,434592991,https://www.nexu.com.au/app/#/listing/21318206,29-06-2022
21318453,The Homeowner,14 Consort Street,Alexandra Hills,4161,QLD,-27.51938824,153.2250136,,,current,3,2,2,,,,,,,,13-06-2022,15,$610 P/W,$650 P/W,-6.2%,610,650,week,VPA-3,605000,,House,LJ Hooker Property Centre - -,24533,Property Management,434593303,https://www.nexu.com.au/app/#/listing/21318453,29-06-2022
21318376,The Homeowner,12 Magnolia Place,Carseldine,4034,QLD,-27.34742317,153.0140093,,,current,4,2,2,,1,a/c,,,,,13-06-2022,15,$620 pw,$620 pw,0.0%,620,620,week,,860000,,House,All Properties Group - Moreton,85316,"Alex Li, Irene Liu",434593451,https://www.nexu.com.au/app/#/listing/21318376,29-06-2022
21318420,The Homeowner,27 Narrung Street,Middle Park,4074,QLD,-27.56006572,152.9259555,,,current,3,2,1,,,,,,,,13-06-2022,15,$550 per week,$550 per week,0.0%,550,550,week,VPA-1,776000,,House,Vanilla Rentals,19831,Vanilla Rentals,434593379,https://www.nexu.com.au/app/#/listing/21318420,29-06-2022
21318423,The Homeowner,3/22 Boat Street,Victoria Point,4165,QLD,-27.58750854,153.3090528,,,current,3,4,2,,,a/c,,,193,3,13-06-2022,15,$600 Per Week,$600 Per Week,0.0%,600,600,week,VPA-1,,,Townhouse,Coronis - LUTWYCHE,16521,Kerry McCarthy,434593371,https://www.nexu.com.au/app/#/listing/21318423,29-06-2022
21318451,The Homeowner,67 Dixon Street,Sunnybank,4109,QLD,-27.58028582,153.053486,,,current,4,2,,,,a/c,,,,,13-06-2022,15,$550 per week,$550 per week,0.0%,550,550,week,VPA-3,990000,,House,Ray White - Mt Gravatt,28564,Samara Boman,434593307,https://www.nexu.com.au/app/#/listing/21318451,29-06-2022
21318746,The Homeowner,24 Benbek Circuit,Sunnybank Hills,4109,QLD,-27.6019926,153.0422222,,,current,4,2,2,,,a/c,,,,,13-06-2022,15,$545/per week,$545/per week,0.0%,545,545,week,VPA-3,899000,,House,Ray White - Sunnybank Hills,35461,Simon Bian,434593551,https://www.nexu.com.au/app/#/listing/21318746,29-06-2022
21318972,The Homeowner,2/29 Bellagio Crescent,Coomera,4209,QLD,-27.84456773,153.3301684,,,current,4,2,2,,1,split-system,,,120,5,13-06-2022,15,$650 per week,$650 per week,0.0%,650,650,week,VPA-1,670000,,Duplex/semi-detached,Oxbridge - National,43399,Jem da Silva,434593695,https://www.nexu.com.au/app/#/listing/21318972,29-06-2022
21318072,The Homeowner,3 Haystack Close,Park Ridge,4125,QLD,-27.71016875,153.0875685,,,current,4,2,2,,,a/c,,,,,13-06-2022,15,$530 per week,$530 per week,0.0%,530,530,week,,524450,,House,Ray White Carrara - CARRARA,117961,"Jeorgia Torrington, Carrara Rentals",434593207,https://www.nexu.com.au/app/#/listing/21318072,29-06-2022
21075467,The Homeowner,11 Quiet Court,Springfield Lakes,4300,QLD,-27.68658005,152.9143099,,,current,4,2,2,,,,,,,,09-05-2022,50,$550 PW LEASED,LOW MAINTENANCE @ $570 PW,-3.5%,550,570,week,VPA-2,590000,,House,Purple Cow Real Estate - Greater Springfield,37685,Moana Papastergou,434353859,https://www.nexu.com.au/app/#/listing/21075467,29-06-2022
21319168,The Homeowner,5 Rutherglen Cres,Calamvale,4116,QLD,-27.60908399,153.0476176,,,current,5,2,2,,,a/c,,,,,13-06-2022,15,Under Application,$650 per week,0.0%,650,650,week,VPA-3,1080000,,House,Harcourts Results - Calamvale,17783,"Harcourts Results Calamvale, Sam Skinner",434593895,https://www.nexu.com.au/app/#/listing/21319168,29-06-2022
21319225,The Homeowner,8 Kooringa Avenue,Cleveland,4163,QLD,-27.54492357,153.2678105,,,current,4,2,1,,,,,,,,13-06-2022,15,$650.00,$650.00,0.0%,650,650,week,,890000,,House,REMAX Bayside Properties -   Alexandra Hills,19566,Chiquitta Skeats,434593935,https://www.nexu.com.au/app/#/listing/21319225,29-06-2022
21318751,The Homeowner,46 Lomatia Street,Everton Hills,4053,QLD,-27.39389347,152.9727116,,,current,3,2,1,2,,a/c,,,,,13-06-2022,15,$570 per week,$570 per week,0.0%,570,570,week,,828500,,House,Ray White - Bridgeman Downs,25858,Property Management Assistant,434593539,https://www.nexu.com.au/app/#/listing/21318751,29-06-2022
21315958,The Homeowner,1208/70 Mary St,Brisbane City,4000,QLD,-27.47205521,153.0268114,,,current,1,1,,1,,,,,,,13-06-2022,16,$460 per week,$460 per week,0.0%,460,460,week,,315000,,Apartment,Accor Realty - SURFERS PARADISE,24189,Residences Team Brisbane,434591523,https://www.nexu.com.au/app/#/listing/21315958,29-06-2022
21319410,The Homeowner,14 Rice Road,Redbank Plains,4301,QLD,-27.64496766,152.8369484,,,current,3,1,,2,,"a/c, split-system",split-system,,164,3,14-06-2022,15,$450 per week,$450 per week,0.0%,450,450,week,VPA-1,388000,,House,Oxbridge - National,43399,"Kent Rohl, Happie Kaur",434594027,https://www.nexu.com.au/app/#/listing/21319410,29-06-2022
9386713,The Homeowner,3/44 Brisbane Street,Toowong,4066,QLD,-27.489677,152.994233,,,current,3,2,2,,1,"a/c, reverse cycle, evaporative",ducted,,100,10,11-04-2019,1175,$990,Low rent,52.3%,990,650,week,VPA-1,826000,,Unit,Property Now - MOOLOOLABA,29014,Property Now,426291402,https://www.nexu.com.au/app/#/listing/9386713,29-06-2022
21319561,The Homeowner,138/170 Leichhardt Street,Spring Hill,4000,QLD,-27.46189381,153.0260019,,,current,1,1,1,,1,a/c,,,,,14-06-2022,15,$600 per week,$600 per week,0.0%,600,600,week,,,,Townhouse,HAVEN RESIDENTIAL,33707,Marie Moore,434594067,https://www.nexu.com.au/app/#/listing/21319561,29-06-2022
21319554,The Homeowner,26 Ontario Street,Holland Park West,4121,QLD,-27.52184884,153.0608942,,,current,3,1,2,1,,"a/c, ducted",ducted,,,,14-06-2022,15,$670 per week,$680,-1.5%,670,680,week,VPA-3,904750,,House,Place Projects Pty Ltd - Residential,34021,Rachel Halemai,434594091,https://www.nexu.com.au/app/#/listing/21319554,29-06-2022
21319302,The Homeowner,39/8 Rosegum Place,Redbank Plains,4301,QLD,-27.62986575,152.8728574,,,current,2,1,1,,,a/c,,,,,10-06-2022,19,$325 per week,$325 per week,0.0%,325,325,week,VPA-1,225000,,Unit,Horizon Housing Realty - Robina,43553,Yvette Paterson,434584899,https://www.nexu.com.au/app/#/listing/21319302,29-06-2022
21319678,The Homeowner,25 Dowden Street,Goodna,4300,QLD,-27.60750238,152.883076,,,current,3,2,2,3,,,,,,,14-06-2022,15,$430 per week,$430 per week,0.0%,430,430,week,,336000,,House,Ray White - Redbank Plains,23366,Ray White PM,434594719,https://www.nexu.com.au/app/#/listing/21319678,29-06-2022
21319729,The Homeowner,434 Enoggera Road,Alderley,4051,QLD,-27.42751945,153.0021963,,,current,2,1,1,,,,,,,,14-06-2022,15,$300 per week,$300 per week,0.0%,300,300,week,VPA-3,1225000,,House,Ray White - Alderley,23452,Ray White Alderley PM,434594603,https://www.nexu.com.au/app/#/listing/21319729,29-06-2022
21319826,The Homeowner,41 Bovey Street,Coopers Plains,4108,QLD,-27.57332012,153.0393566,,,current,3,1,2,,,,,,,,14-06-2022,15,$415 Per Week,$415 Per Week,0.0%,415,415,week,,760000,,House,Propper - SURRY HILLS,38827,Jasmin Bradley,434594395,https://www.nexu.com.au/app/#/listing/21319826,29-06-2022
21319828,The Homeowner,52 Tarana Street,Camp Hill,4152,QLD,-27.49580973,153.0741643,,,current,5,3,2,,,,,,,,14-06-2022,15,"$1,150 per week","$1,150 per week",0.0%,1150,1150,week,,1745000,,House,Harcourts Property Centre -,29292,"Dimitri Loukaras, Katie Ramsay",434594387,https://www.nexu.com.au/app/#/listing/21319828,29-06-2022
21320182,The Homeowner,41 Lighthouse Esplanade,Newport,4020,QLD,-27.20957753,153.0758356,,,current,4,2,2,,,,,,,,14-06-2022,15,$650 Weekly,$650 Weekly,0.0%,650,650,week,,981000,,House,Gallery Real Estate - SANCTUARY COVE,82110,Monique Lamb,434595371,https://www.nexu.com.au/app/#/listing/21320182,29-06-2022
21319936,The Homeowner,100 Plumer Street,Sherwood,4075,QLD,-27.52822944,152.9873199,,,current,4,3,2,,,a/c,"ducted, split-system",,,,14-06-2022,15,$895 per week,$930 per week,-3.8%,895,930,week,VPA-3,1331750,,House,Ray White Sherwood - Graceville,23876,"Melinda Beckinsale, Leasing Team",434595819,https://www.nexu.com.au/app/#/listing/21319936,29-06-2022
21319991,The Homeowner,57 Cova Boulevard,Hope Island,4212,QLD,-27.87132803,153.3603844,,,current,4,3,2,,,,,,,,14-06-2022,15,$1800 Per Week,$2500 Per Week,-28.0%,1800,2500,week,,1555000,,House,Propper - SURRY HILLS,38827,Jasmin Bradley,434595699,https://www.nexu.com.au/app/#/listing/21319991,29-06-2022
21320008,The Homeowner,942 Rochedale Road,Rochedale South,4123,QLD,-27.60004058,153.1214927,,,current,4,2,,2,1,a/c,,,,,14-06-2022,15,$630 pw,$630 pw,0.0%,630,630,week,,773500,,House,Belle Property Rochedale - ROCHEDALE SOUTH,82716,Erica Daley,434595647,https://www.nexu.com.au/app/#/listing/21320008,29-06-2022
21320404,The Homeowner,5b Roby Street,Wynnum,4178,QLD,-27.43565837,153.1581983,,,current,4,3,1,1,,"a/c, split-system",,,,,14-06-2022,15,$635 per week,$635 per week,0.0%,635,635,week,,1250000,,Duplex/semi-detached,Sash & Gable Property - WYNNUM,34179,Caitlin Greenbury,434594979,https://www.nexu.com.au/app/#/listing/21320404,29-06-2022
21320281,The Homeowner,3/9 North St,Newmarket,4051,QLD,-27.43363331,153.0079197,,,current,2,2,1,,,,,,,,14-06-2022,15,Approved Application,$460 per week,0.0%,460,460,week,,415000,,Unit,Image Property - Brisbane Northside,16141,Natalie Mulcahy,434595195,https://www.nexu.com.au/app/#/listing/21320281,29-06-2022
20912979,The Homeowner,6 John Carroll Way,Redbank Plains,4301,QLD,-27.67119459,152.8518932,,,current,4,2,2,,,a/c,,,,,14-04-2022,75,$460 per week,$460 per week,0.0%,460,460,week,VPA-2,436250,,House,McGrath Springfield - Springfield,24341,McGrath Springfield,434206791,https://www.nexu.com.au/app/#/listing/20912979,29-06-2022
21316592,The Homeowner,27 Victoria Street,Indooroopilly,4068,QLD,-27.4985038,152.9845471,,,current,6,4,,,,ducted,ducted,,,,13-06-2022,15,"$1,500 per week","$1,600 per week",-6.3%,1500,1600,week,VPA-3,2080000,,House,Joy Realty - Sunnybank,25081,Tina Grisinger,434591951,https://www.nexu.com.au/app/#/listing/21316592,29-06-2022
21321440,The Homeowner,126 Watsons Road,South Ripley,4306,QLD,-27.71274021,152.8110449,,,current,3,1,,,,,,,,,14-06-2022,14,$500 Per week,$500 Per week,0.0%,500,500,week,,451750,,House,Prime Place Property,110327,Yash Puri,434595943,https://www.nexu.com.au/app/#/listing/21321440,29-06-2022
20913882,The Homeowner,46 Lackmann Crescent,Mango Hill,4509,QLD,-27.23565191,153.0350853,,,current,4,3,2,,1,a/c,,,,,14-04-2022,75,$700 per week,$700 per week,0.0%,700,700,week,VPA-1,675500,,House,Rental Management Australia - GOODNA,24196,Joe Hunt,434208227,https://www.nexu.com.au/app/#/listing/20913882,29-06-2022
21080166,The Homeowner,155 Mount Gravatt Capalaba Road,Upper Mount Gravatt,4122,QLD,-27.55680494,153.0891101,,,current,3,1,1,,,,,,,,09-05-2022,50,$550 per week,$550 per week,0.0%,550,550,week,VPA-1,875500,,House,THEONSITEMANAGER - Hendra,23858,Daniel Kao,434359267,https://www.nexu.com.au/app/#/listing/21080166,29-06-2022
21321843,The Homeowner,5/9 St Catherines Terrace,Wynnum,4178,QLD,-27.44024692,153.1723667,,,current,2,1,1,,,,,,,,14-06-2022,14,$400 per week,$400 per week,0.0%,400,400,week,VPA-1,476000,,Unit,Traditional Real Estate - Wynnum,16280,Kate Roeth,434598043,https://www.nexu.com.au/app/#/listing/21321843,29-06-2022
21322199,The Homeowner,8069 Riverside Drive,Sanctuary Cove,4212,QLD,-27.85861719,153.3779848,,,current,5,4,3,,3,,,,,,14-06-2022,14,"$2,700 per week",CONTACT AGENT,0.0%,2700,2700,week,VPA-3,,,House,Mitchell's Real Estate Group - SANCTUARY COVE,32703,Kerri Parker,434597403,https://www.nexu.com.au/app/#/listing/21322199,29-06-2022
